"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)",
"1400000US36001000100","Census Tract 1, Albany County, New York","32389","12524",
"1400000US36001000200","Census Tract 2, Albany County, New York","27714","3824",
"1400000US36001000300","Census Tract 3, Albany County, New York","45272","10059",
"1400000US36001000401","Census Tract 4.01, Albany County, New York","74274","5012",
"1400000US36001000403","Census Tract 4.03, Albany County, New York","74426","11653",
"1400000US36001000404","Census Tract 4.04, Albany County, New York","-","**",
"1400000US36001000501","Census Tract 5.01, Albany County, New York","32165","7447",
"1400000US36001000502","Census Tract 5.02, Albany County, New York","60263","6916",
"1400000US36001000600","Census Tract 6, Albany County, New York","22298","15214",
"1400000US36001000700","Census Tract 7, Albany County, New York","36639","7313",
"1400000US36001000800","Census Tract 8, Albany County, New York","25872","10546",
"1400000US36001001100","Census Tract 11, Albany County, New York","19766","5429",
"1400000US36001001400","Census Tract 14, Albany County, New York","49602","14567",
"1400000US36001001500","Census Tract 15, Albany County, New York","32500","9077",
"1400000US36001001600","Census Tract 16, Albany County, New York","50417","12689",
"1400000US36001001700","Census Tract 17, Albany County, New York","63913","9238",
"1400000US36001001801","Census Tract 18.01, Albany County, New York","90043","6933",
"1400000US36001001802","Census Tract 18.02, Albany County, New York","69918","7494",
"1400000US36001001901","Census Tract 19.01, Albany County, New York","82713","12577",
"1400000US36001001902","Census Tract 19.02, Albany County, New York","81081","13885",
"1400000US36001002000","Census Tract 20, Albany County, New York","42791","7519",
"1400000US36001002100","Census Tract 21, Albany County, New York","47569","15426",
"1400000US36001002200","Census Tract 22, Albany County, New York","39313","5385",
"1400000US36001002300","Census Tract 23, Albany County, New York","31865","13176",
"1400000US36001002500","Census Tract 25, Albany County, New York","24425","8614",
"1400000US36001002600","Census Tract 26, Albany County, New York","38494","12788",
