"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1400000US36001000100","Census Tract 1, Albany County, New York","2035","241",
"1400000US36001000200","Census Tract 2, Albany County, New York","4793","681",
"1400000US36001000300","Census Tract 3, Albany County, New York","6147","951",
"1400000US36001000401","Census Tract 4.01, Albany County, New York","2362","233",
"1400000US36001000403","Census Tract 4.03, Albany County, New York","4253","494",
"1400000US36001000404","Census Tract 4.04, Albany County, New York","5082","473",
"1400000US36001000501","Census Tract 5.01, Albany County, New York","3523","564",
"1400000US36001000502","Census Tract 5.02, Albany County, New York","3785","305",
"1400000US36001000600","Census Tract 6, Albany County, New York","3663","475",
"1400000US36001000700","Census Tract 7, Albany County, New York","3885","606",
"1400000US36001000800","Census Tract 8, Albany County, New York","2192","405",
"1400000US36001001100","Census Tract 11, Albany County, New York","1573","254",
"1400000US36001001400","Census Tract 14, Albany County, New York","3855","436",
"1400000US36001001500","Census Tract 15, Albany County, New York","4775","653",
"1400000US36001001600","Census Tract 16, Albany County, New York","4151","437",
"1400000US36001001700","Census Tract 17, Albany County, New York","4318","318",
"1400000US36001001801","Census Tract 18.01, Albany County, New York","7152","465",
"1400000US36001001802","Census Tract 18.02, Albany County, New York","4068","391",
"1400000US36001001901","Census Tract 19.01, Albany County, New York","2714","219",
"1400000US36001001902","Census Tract 19.02, Albany County, New York","2293","289",
"1400000US36001002000","Census Tract 20, Albany County, New York","5966","952",
"1400000US36001002100","Census Tract 21, Albany County, New York","2986","446",
"1400000US36001002200","Census Tract 22, Albany County, New York","2766","335",
"1400000US36001002300","Census Tract 23, Albany County, New York","2010","286",
"1400000US36001002500","Census Tract 25, Albany County, New York","2831","403",
"1400000US36001002600","Census Tract 26, Albany County, New York","4300","629",
"1400000US36001012700","Census Tract 127, Albany County, New York","2742","312",
"1400000US36001012800","Census Tract 128, Albany County, New York","3749","386",
"1400000US36001012900","Census Tract 129, Albany County, New York","3485","358",
"1400000US36001013000","Census Tract 130, Albany County, New York","6708","470",
"1400000US36001013100","Census Tract 131, Albany County, New York","2592","22",
"1400000US36001013200","Census Tract 132, Albany County, New York","3279","306",
"1400000US36001013300","Census Tract 133, Albany County, New York","4204","316",
"1400000US36001013400","Census Tract 134, Albany County, New York","2567","229",
"1400000US36001013503","Census Tract 135.03, Albany County, New York","4896","428",
"1400000US36001013505","Census Tract 135.05, Albany County, New York","2844","230",
"1400000US36001013506","Census Tract 135.06, Albany County, New York","7190","404",
"1400000US36001013507","Census Tract 135.07, Albany County, New York","2242","182",
"1400000US36001013508","Census Tract 135.08, Albany County, New York","6974","430",
"1400000US36001013601","Census Tract 136.01, Albany County, New York","9179","494",
"1400000US36001013602","Census Tract 136.02, Albany County, New York","4395","297",
"1400000US36001013703","Census Tract 137.03, Albany County, New York","2393","202",
"1400000US36001013705","Census Tract 137.05, Albany County, New York","6442","441",
"1400000US36001013706","Census Tract 137.06, Albany County, New York","2080","122",
"1400000US36001013707","Census Tract 137.07, Albany County, New York","5972","480",
"1400000US36001013801","Census Tract 138.01, Albany County, New York","7154","487",
"1400000US36001013802","Census Tract 138.02, Albany County, New York","4109","324",
"1400000US36001013901","Census Tract 139.01, Albany County, New York","2336","162",
"1400000US36001013902","Census Tract 139.02, Albany County, New York","5401","168",
"1400000US36001014001","Census Tract 140.01, Albany County, New York","4072","352",
"1400000US36001014002","Census Tract 140.02, Albany County, New York","5170","544",
"1400000US36001014100","Census Tract 141, Albany County, New York","5318","318",
"1400000US36001014201","Census Tract 142.01, Albany County, New York","5831","338",
"1400000US36001014202","Census Tract 142.02, Albany County, New York","5824","401",
"1400000US36001014203","Census Tract 142.03, Albany County, New York","6499","367",
"1400000US36001014301","Census Tract 143.01, Albany County, New York","3088","405",
"1400000US36001014302","Census Tract 143.02, Albany County, New York","8386","372",
"1400000US36001014401","Census Tract 144.01, Albany County, New York","4119","28",
"1400000US36001014402","Census Tract 144.02, Albany County, New York","3210","15",
"1400000US36001014501","Census Tract 145.01, Albany County, New York","2574","219",
"1400000US36001014502","Census Tract 145.02, Albany County, New York","3329","218",
"1400000US36001014503","Census Tract 145.03, Albany County, New York","2801","29",
"1400000US36001014606","Census Tract 146.06, Albany County, New York","3627","275",
"1400000US36001014607","Census Tract 146.07, Albany County, New York","8070","398",
"1400000US36001014608","Census Tract 146.08, Albany County, New York","4211","322",
"1400000US36001014609","Census Tract 146.09, Albany County, New York","4596","264",
"1400000US36001014611","Census Tract 146.11, Albany County, New York","2151","173",
"1400000US36001014612","Census Tract 146.12, Albany County, New York","1665","153",
"1400000US36001014613","Census Tract 146.13, Albany County, New York","3046","230",
"1400000US36001014614","Census Tract 146.14, Albany County, New York","5502","327",
"1400000US36001014615","Census Tract 146.15, Albany County, New York","2828","369",
"1400000US36001014700","Census Tract 147, Albany County, New York","2839","142",
"1400000US36001014801","Census Tract 148.01, Albany County, New York","2797","18",
"1400000US36001014802","Census Tract 148.02, Albany County, New York","1679","137",
"1400000US36001014803","Census Tract 148.03, Albany County, New York","3325","15",
"1400000US36003940200","Census Tract 9402, Allegany County, New York","2","3",
"1400000US36003950100","Census Tract 9501, Allegany County, New York","2290","130",
"1400000US36003950300","Census Tract 9503, Allegany County, New York","5134","292",
"1400000US36003950400","Census Tract 9504, Allegany County, New York","3743","287",
"1400000US36003950500","Census Tract 9505, Allegany County, New York","3758","160",
"1400000US36003950600","Census Tract 9506, Allegany County, New York","3648","232",
"1400000US36003950700","Census Tract 9507, Allegany County, New York","3353","276",
"1400000US36003950800","Census Tract 9508, Allegany County, New York","6159","200",
"1400000US36003950900","Census Tract 9509, Allegany County, New York","3662","260",
"1400000US36003951000","Census Tract 9510, Allegany County, New York","3286","269",
"1400000US36003951100","Census Tract 9511, Allegany County, New York","3649","338",
"1400000US36003951200","Census Tract 9512, Allegany County, New York","4683","252",
"1400000US36003951300","Census Tract 9513, Allegany County, New York","3321","187",
"1400000US36005000100","Census Tract 1, Bronx County, New York","6864","331",
"1400000US36005000200","Census Tract 2, Bronx County, New York","4532","471",
"1400000US36005000400","Census Tract 4, Bronx County, New York","5516","558",
"1400000US36005001600","Census Tract 16, Bronx County, New York","5825","398",
"1400000US36005001900","Census Tract 19, Bronx County, New York","3141","341",
"1400000US36005002000","Census Tract 20, Bronx County, New York","9040","924",
